CBC 2019 - Structural Reference Standards		
Category,Standard,Year
Loading,	ASCE-7,	2016
Concrete,	ACI-318,	2014
Wood-National Design Specifications,	AWC-NDS,	2018
Wood-Special Design Provisions for Wind and Seismic,	AWC-SDPWS,	2015
Wood Frame Construction Manual,	AWC-WFCM,	2018
